Date,WorkspaceLineId,WorkspaceFactoryName,WorkspaceBuildingName,BuyerName,SMV,SampleSMV,CM,DayTarget,IETarget,TargetEfficiency,ManPowerPresent,PlannedIronMan,PlannedHelper,PlannedOperator,PlannedHours,RunningWorkDay,AchievedEfficiency,dhu
10/22/2025,L051,Alpha Apparels Ltd,Alpha-B2,Buyer 9,18.03,19.2,2.75,2900,2185,64.5,44,2,8,30,10.5,14,68.91,3.81
10/22/2025,L119,Alpha Apparels Ltd,Alpha-B1,Buyer 2,22.75,21.24,1.43,1149,2861,79.8,51,2,8,30,10.1,15,41.91,11.78
10/22/2025,L046,Alpha Apparels Ltd,Alpha-B1,Buyer 1,33.7,36.83,0.98,2638,2480,52.5,44,2,8,30,9.4,5,54.3,7.5
10/22/2025,L048,Alpha Apparels Ltd,Alpha-B1,Buyer 3,27.13,27.14,0.77,2813,2429,64.4,54,2,8,30,9,20,73.33,4.77
10/22/2025,L019,Alpha Apparels Ltd,Alpha-B3,Buyer 1,22.03,23.06,1.31,1817,2411,65.8,51,2,8,30,9.3,22,66.98,6.94
10/22/2025,L065,Beta Garments Ltd,Beta-B3,Buyer 1,23.26,25.14,2.97,2018,987,66.2,40,2,8,30,9.5,3,22.82,14.33
10/22/2025,L010,Beta Garments Ltd,Beta-B3,Buyer 2,26.9,28.73,2.61,885,2918,66.1,51,2,8,30,9.9,8,62.34,7.96
10/22/2025,L072,Alpha Apparels Ltd,Alpha-B3,Buyer 12,41.56,42.81,1.12,753,1917,64.7,41,2,8,30,9.1,9,86.25,9.3
10/22/2025,L047,Beta Garments Ltd,Beta-B3,Buyer 9,25.56,25.44,2.85,1530,1697,69.4,41,2,8,30,10.4,15,48.93,11.02
10/22/2025,L122,Gamma Textiles Ltd,Gamma-B2,Buyer 22,44.87,49.01,1.92,2688,1893,62.6,55,2,8,30,10.1,20,95.35,6.84
10/22/2025,L057,Beta Garments Ltd,Beta-B3,Buyer 2,22.07,20.94,1.57,2080,1388,58.7,42,2,8,30,10.5,24,50.61,6.37
10/22/2025,L091,Gamma Textiles Ltd,Gamma-B1,Buyer 2,12.13,11.25,1.49,806,1252,63.4,53,2,8,30,9.7,11,43.72,3.97
10/22/2025,L111,Alpha Apparels Ltd,Alpha-B1,Buyer 1,37.82,41.19,2.33,2301,921,79.1,56,2,8,30,10.8,12,58.78,2.29
10/22/2025,L077,Gamma Textiles Ltd,Gamma-B2,Buyer 2,19.62,20.23,2.22,2496,827,51.8,47,2,8,30,8.5,22,48.02,13.84
10/22/2025,L015,Alpha Apparels Ltd,Alpha-B3,Buyer 1,32.04,32.76,2.7,2725,2510,56.9,41,2,8,30,10.4,14,42.23,15.44
10/22/2025,L133,Beta Garments Ltd,Beta-B2,Buyer 2,22.28,23.7,0.7,859,2373,57.3,46,2,8,30,10.5,15,86.72,5.53
10/22/2025,L105,Alpha Apparels Ltd,Alpha-B1,Buyer 9,37.94,40.74,1.08,2370,2654,63.6,47,2,8,30,9.7,9,74.48,4.68
10/22/2025,L016,Gamma Textiles Ltd,Gamma-B1,Buyer 1,26.7,25.03,0.85,2696,898,62.5,45,2,8,30,9.6,22,49.46,7.54
10/22/2025,L080,Beta Garments Ltd,Beta-B1,Buyer 14,25.27,25.96,1.06,2523,2814,71.4,60,2,8,30,9.4,24,45.73,0
10/22/2025,L095,Gamma Textiles Ltd,Gamma-B2,Buyer 2,22.96,21.82,1.95,1205,1708,76.8,47,2,8,30,10.6,5,73.73,9.37
10/22/2025,L082,Alpha Apparels Ltd,Alpha-B1,Buyer 1,37.55,39.03,0.58,2676,2921,65.1,50,2,8,30,9.6,6,97.19,12.38
10/22/2025,L053,Alpha Apparels Ltd,Alpha-B1,Buyer 1,43.42,47.36,2.01,1694,1749,57.7,47,2,8,30,8.3,12,24.48,6.14
10/22/2025,L126,Gamma Textiles Ltd,Gamma-B2,Buyer 2,16.35,16.77,0.85,2293,1097,72.8,47,2,8,30,11,19,51.87,18.78
10/22/2025,L005,Gamma Textiles Ltd,Gamma-B3,Buyer 2,38.35,38.45,1.65,2672,2506,63.6,33,2,8,30,8.7,1,69.45,4.32
10/22/2025,L030,Beta Garments Ltd,Beta-B3,Buyer 1,8.32,8.3,0.74,1845,2029,54.4,44,2,8,30,11,20,17.4,2.41
10/22/2025,L069,Alpha Apparels Ltd,Alpha-B3,Buyer 2,27.2,25.48,1.3,822,2619,57.3,42,2,8,30,10.8,18,58.47,7.32
10/22/2025,L099,Beta Garments Ltd,Beta-B2,Buyer 2,42.43,39.82,1.45,921,1584,70.7,40,2,8,30,9.1,12,24.56,9.62
10/22/2025,L128,Alpha Apparels Ltd,Alpha-B3,Buyer 7,39.71,38.35,1.83,520,1311,53.5,38,2,8,30,8.1,9,77.91,8.47
10/22/2025,L104,Alpha Apparels Ltd,Alpha-B3,Buyer 3,30.84,29.32,0.75,1651,1371,54.9,48,2,8,30,8.4,24,13924.15199,0.61
10/22/2025,L085,Beta Garments Ltd,Beta-B1,Buyer 1,28.75,26.38,2.87,2283,1511,57.3,44,2,8,30,9,10,41.51,13.13
10/22/2025,L108,Alpha Apparels Ltd,Alpha-B2,Buyer 13,33.41,31.41,0.66,1969,678,66.5,46,2,8,30,9,17,56.52,0.69
10/22/2025,L004,Beta Garments Ltd,Beta-B1,Buyer 1,18.58,18.78,1.76,1578,1663,77.5,49,2,8,30,8.1,25,67.33,4.67
10/22/2025,L012,Gamma Textiles Ltd,Gamma-B1,Buyer 1,41.57,42.79,2.91,577,2023,77.5,55,2,8,30,10.4,12,77.39,10.75
10/22/2025,L035,Alpha Apparels Ltd,Alpha-B1,Buyer 1,20.61,20.97,0.72,2392,1691,57.6,30,2,8,30,10.8,14,6009.184825,17.21
10/22/2025,L083,Beta Garments Ltd,Beta-B3,Buyer 1,10.25,11.13,2.86,816,1449,65.3,47,2,8,30,9.4,8,45.96,5.02
10/22/2025,L116,Gamma Textiles Ltd,Gamma-B3,Buyer 1,41.51,45.37,2.82,1467,2850,73.4,37,2,8,30,8.1,5,41.71,8.68
10/22/2025,L034,Alpha Apparels Ltd,Alpha-B1,Buyer 1,43.27,41.18,2.18,1986,1084,72.9,44,2,8,30,10.6,3,62.52,6.22
10/22/2025,L032,Alpha Apparels Ltd,Alpha-B1,Buyer 1,18.31,17.21,2.87,751,2025,67.6,45,2,8,30,9.9,13,80.73,7.58
10/22/2025,L013,Alpha Apparels Ltd,Alpha-B2,Buyer 2,18.9,20.46,0.55,799,2314,58.9,58,2,8,30,8.9,17,45.34,0
10/22/2025,L127,Alpha Apparels Ltd,Alpha-B3,Buyer 8,8.24,7.75,1.05,563,1612,55.6,25,2,8,30,11,11,50.66,4.99
10/22/2025,L068,Alpha Apparels Ltd,Alpha-B2,Buyer 1,26.8,26.28,2.51,2727,2678,52.4,52,2,8,30,9.4,12,41.08,7.08
10/22/2025,L084,Alpha Apparels Ltd,Alpha-B3,Buyer 1,33.37,32.75,1.89,2379,2152,73.9,50,2,8,30,9.9,2,9.15,15.33
10/22/2025,L114,Beta Garments Ltd,Beta-B3,Buyer 1,39.25,40.46,0.99,1175,783,63.9,55,2,8,30,9.2,8,54.07,6.79
10/22/2025,L033,Beta Garments Ltd,Beta-B1,Buyer 1,41.65,38.6,1.06,2043,1989,67.6,55,2,8,30,8.1,13,74.82,2.34
10/22/2025,L061,Alpha Apparels Ltd,Alpha-B1,Buyer 1,33.19,36.34,2.22,911,1606,53.6,38,2,8,30,8.6,19,47.83,9.45
10/22/2025,L101,Alpha Apparels Ltd,Alpha-B3,Buyer 1,19.67,20.4,1.43,1690,628,76,52,2,8,30,10.9,2,5,4.28
10/22/2025,L086,Beta Garments Ltd,Beta-B1,Buyer 1,17.49,16.08,2.64,2596,1559,76.6,56,2,8,30,9.3,23,73.81,8.73
10/22/2025,L117,Alpha Apparels Ltd,Alpha-B3,Buyer 17,30.33,31.98,2.17,2398,2076,55.2,50,2,8,30,8.1,21,61.22,9.52
10/22/2025,L103,Gamma Textiles Ltd,Gamma-B2,Buyer 2,28.76,31.25,2.19,1047,2176,63.5,41,2,8,30,9.1,13,79.08,0
10/22/2025,L026,Gamma Textiles Ltd,Gamma-B1,Buyer 1,44.87,46.82,1.33,2597,2603,51.7,52,2,8,30,8.7,8,60.06,1.31
10/22/2025,L098,Gamma Textiles Ltd,Gamma-B1,Buyer 1,15.29,13.89,2.16,1837,970,76.7,31,2,8,30,9.4,7,32.91,0.34
10/22/2025,L120,Alpha Apparels Ltd,Alpha-B1,Buyer 5,12.82,14.09,2.38,2982,2797,75.3,48,2,8,30,10.1,18,66.62,5.12
10/22/2025,L088,Alpha Apparels Ltd,Alpha-B1,Buyer 16,13.95,13,2.28,1302,1144,64.7,37,2,8,30,10.9,4,92.53,5.06
10/22/2025,L112,Beta Garments Ltd,Beta-B2,Buyer 1,24.65,24.96,2.8,2967,2336,71.8,20,2,8,30,10.2,10,36.48,10.38
10/22/2025,L130,Beta Garments Ltd,Beta-B1,Buyer 13,21.12,19.18,1.16,755,1572,72.7,40,2,8,30,10.1,17,58.6,14.5
10/22/2025,L060,Alpha Apparels Ltd,Alpha-B1,Buyer 7,10.37,9.81,2.92,641,1380,75.8,50,2,8,30,8.1,9,44.3,3.82
10/22/2025,L039,Alpha Apparels Ltd,Alpha-B3,Buyer 1,19.3,18.27,2.07,1774,1437,66.4,45,2,8,30,9.8,15,32.2,6.21
10/22/2025,L081,Alpha Apparels Ltd,Alpha-B1,Buyer 2,32.92,30.64,2.59,829,1716,53,49,2,8,30,8.2,12,39,13.44
10/22/2025,L129,Alpha Apparels Ltd,Alpha-B2,Buyer 2,39.88,37.57,2.99,819,2609,52.6,46,2,8,30,9.1,4,36.17,6.05
10/22/2025,L052,Gamma Textiles Ltd,Gamma-B2,Buyer 1,43.33,44.22,1.85,727,591,64,40,2,8,30,9.5,9,60.46,8.21
10/22/2025,L027,Gamma Textiles Ltd,Gamma-B3,Buyer 11,20.54,20.5,1.06,1357,1230,80,47,2,8,30,9.6,10,88.32,8.77
10/22/2025,L125,Alpha Apparels Ltd,Alpha-B2,Buyer 9,43.87,41.2,1.06,717,2565,77,56,2,8,30,10.4,17,50.42,6.09
10/22/2025,L138,Gamma Textiles Ltd,Gamma-B3,Buyer 10,31.01,31.5,1.62,1821,649,76.5,65,2,8,30,10.2,11,65.93,7.12
10/22/2025,L003,Alpha Apparels Ltd,Alpha-B1,Buyer 1,31.03,30.22,0.81,1854,1017,74,33,2,8,30,10.1,15,63.12,7.08
10/22/2025,L107,Gamma Textiles Ltd,Gamma-B2,Buyer 3,31.37,29.79,2.68,1376,616,67.2,42,2,8,30,10.2,23,86.1,8.12
10/22/2025,L028,Beta Garments Ltd,Beta-B3,Buyer 1,44.7,42.45,1.89,2461,1574,67.1,50,2,8,30,8.5,22,66.28,9.34
10/22/2025,L115,Alpha Apparels Ltd,Alpha-B1,Buyer 17,30.57,29.39,0.67,1034,2380,57.6,48,2,8,30,9.8,18,81.77,6.29
10/22/2025,L135,Alpha Apparels Ltd,Alpha-B1,Buyer 1,8.31,8.72,2.59,2397,1500,55.8,48,2,8,30,10.4,13,46.86,5.78
10/22/2025,L038,Gamma Textiles Ltd,Gamma-B1,Buyer 1,13.77,14.24,0.71,1511,2408,71.9,52,2,8,30,8.8,13,58.17,8.91
10/22/2025,L067,Gamma Textiles Ltd,Gamma-B1,Buyer 2,21.76,22.59,1.6,2938,1437,66.8,56,2,8,30,8.6,12,11028.98394,8.44
10/22/2025,L066,Alpha Apparels Ltd,Alpha-B2,Buyer 2,36.32,39.47,2.31,2851,782,62.5,49,2,8,30,8.2,3,77.84,9.49
10/22/2025,L006,Beta Garments Ltd,Beta-B2,Buyer 2,30.79,31.61,2.92,2980,504,65,54,2,8,30,8.5,24,69.19,2.12
10/23/2025,L119,Alpha Apparels Ltd,Alpha-B1,Buyer 2,22.75,21.05,2.86,763,2486,79.8,55,2,8,30,10.7,13,46.2,11.24
10/23/2025,L073,Gamma Textiles Ltd,Gamma-B1,Buyer 14,13.71,14.4,2.06,2836,1129,76.8,54,2,8,30,10.7,20,64.09,5.32
10/23/2025,L095,Gamma Textiles Ltd,Gamma-B2,Buyer 2,22.96,23.52,0.57,2436,2411,77.6,47,2,8,30,9.5,2,70.32,8.46
10/23/2025,L000,Beta Garments Ltd,Beta-B2,Buyer 3,36.14,36.76,2.33,1800,1657,58.6,53,2,8,30,8.7,18,76.36,7.38
10/23/2025,L008,Alpha Apparels Ltd,Alpha-B2,Buyer 1,14.93,15.51,1.58,2890,2652,77.9,59,2,8,30,9.9,7,56.52,8.51
10/23/2025,L136,Beta Garments Ltd,Beta-B3,Buyer 1,12.09,12.73,2.01,2757,1411,62.1,42,2,8,30,8,4,33.1,3.74
10/23/2025,L068,Alpha Apparels Ltd,Alpha-B2,Buyer 1,26.8,28.44,2.08,2497,1937,69.7,41,2,8,30,8.9,6,57.12,9.83
10/23/2025,L116,Gamma Textiles Ltd,Gamma-B3,Buyer 1,41.51,45.3,1.59,2513,1625,70.6,51,2,8,30,9.6,4,39.65,3.01
10/23/2025,L099,Beta Garments Ltd,Beta-B2,Buyer 2,42.43,42.66,1.84,2013,2489,60,43,2,8,30,10.5,15,14.69,6.83
10/23/2025,L005,Gamma Textiles Ltd,Gamma-B3,Buyer 2,38.35,35.96,2.76,808,1304,59.6,38,2,8,30,11,9,64.09,3.58
10/23/2025,L061,Alpha Apparels Ltd,Alpha-B1,Buyer 1,33.19,34.58,1.88,1781,1206,78.7,58,2,8,30,8,13,45.53,10.66
10/23/2025,L138,Gamma Textiles Ltd,Gamma-B3,Buyer 10,31.01,33.94,1.66,1733,2590,59,48,2,8,30,10.2,10,53.9,7.88
10/23/2025,L006,Beta Garments Ltd,Beta-B2,Buyer 2,30.79,30.42,2.17,2062,1759,55,49,2,8,30,11,17,62.1,2.4
10/23/2025,L117,Alpha Apparels Ltd,Alpha-B3,Buyer 17,30.33,30.32,2.16,2587,1825,77.1,46,2,8,30,10.4,5,57.07,10.02
10/23/2025,L098,Gamma Textiles Ltd,Gamma-B1,Buyer 1,15.29,16.64,1.56,1849,2018,75.1,62,2,8,30,9.7,25,36.93,3.51
10/23/2025,L055,Alpha Apparels Ltd,Alpha-B2,Buyer 7,21.48,23.09,2.16,901,1805,68.6,48,2,8,30,8.3,2,92.04,9.29
10/23/2025,L103,Gamma Textiles Ltd,Gamma-B2,Buyer 2,28.76,30.49,1.91,1109,2332,79.2,16,2,8,30,9.4,18,82.58,0
10/23/2025,L007,Beta Garments Ltd,Beta-B2,Buyer 3,26.92,28.41,2.23,544,2942,66.8,42,2,8,30,10.8,23,52.44,1.65
10/23/2025,L059,Alpha Apparels Ltd,Alpha-B2,Buyer 1,39.68,36.67,1.39,2778,645,64.8,39,2,8,30,9.8,13,17.33,10.13
10/23/2025,L058,Alpha Apparels Ltd,Alpha-B3,Buyer 1,14.93,13.77,1.52,1402,2457,68.2,53,2,8,30,9.5,7,83.21,2.22
10/23/2025,L118,Beta Garments Ltd,Beta-B2,Buyer 1,39.12,36.35,1.58,2885,2656,74.5,29,2,8,30,8.1,20,80.28,6.54
10/23/2025,L009,Gamma Textiles Ltd,Gamma-B2,Buyer 1,29.04,28.74,1.88,1079,1699,62.7,45,2,8,30,10,21,29,4.44
10/23/2025,L057,Beta Garments Ltd,Beta-B3,Buyer 2,22.07,21.54,0.67,2168,794,60.2,39,2,8,30,10.8,15,47.58,4.85
10/23/2025,L010,Beta Garments Ltd,Beta-B3,Buyer 2,26.9,27.86,2.89,895,1273,74.1,44,2,8,30,8.8,15,56.12,5.84
10/23/2025,L056,Alpha Apparels Ltd,Alpha-B3,Buyer 1,31.76,28.81,2.9,2360,2897,73.1,29,2,8,30,8.1,3,69.69,2.19
10/23/2025,L096,Alpha Apparels Ltd,Alpha-B3,Buyer 12,11.96,11.92,1.29,2612,2187,77.9,39,2,8,30,9.8,5,65.97,14.7
10/23/2025,L070,Beta Garments Ltd,Beta-B1,Buyer 3,12.07,11.8,0.59,2583,2744,73.6,49,2,8,30,8.3,10,39.03,6.84
10/23/2025,L012,Gamma Textiles Ltd,Gamma-B1,Buyer 1,41.57,45.04,2.38,2125,1855,68.1,46,2,8,30,10.3,23,87.9,8.22
10/23/2025,L048,Alpha Apparels Ltd,Alpha-B1,Buyer 3,27.13,25.67,2.57,2048,1115,73.4,52,2,8,30,8.6,11,71.39,6.61
10/23/2025,L013,Alpha Apparels Ltd,Alpha-B2,Buyer 2,18.9,18.9,1.93,1935,1486,68.9,49,2,8,30,8.5,21,61.05,5.89
10/23/2025,L079,Alpha Apparels Ltd,Alpha-B3,Buyer 1,27.15,26.57,2.08,2218,2436,57.4,37,2,8,30,10.1,2,63.5,6.32
10/23/2025,L042,Beta Garments Ltd,Beta-B2,Buyer 2,13.76,13.91,2.71,2156,1151,57,52,2,8,30,9.4,16,65.9,7.39
10/23/2025,L025,Alpha Apparels Ltd,Alpha-B3,Buyer 1,25.73,25.64,1.85,1475,2351,66.8,31,2,8,30,8.9,16,45.37,7.82
10/23/2025,L124,Alpha Apparels Ltd,Alpha-B2,Buyer 1,14.74,14.97,0.91,1826,2924,51.5,36,2,8,30,9.5,16,56.25,12.25
10/23/2025,L080,Beta Garments Ltd,Beta-B1,Buyer 14,25.27,22.85,2.06,1228,1668,63,40,2,8,30,10.4,21,31.84,7.62
10/23/2025,L130,Beta Garments Ltd,Beta-B1,Buyer 13,21.12,19.54,2.1,2747,578,79.4,51,2,8,30,8.9,15,57.5,15.41
10/23/2025,L026,Gamma Textiles Ltd,Gamma-B1,Buyer 1,44.87,47.16,2.69,2103,2829,78.6,42,2,8,30,10,14,61.2,1.05
10/23/2025,L088,Alpha Apparels Ltd,Alpha-B1,Buyer 16,13.95,12.87,1.09,1871,2541,79.7,40,2,8,30,9.7,1,91.5,4.43
10/23/2025,L040,Beta Garments Ltd,Beta-B1,Buyer 1,27.23,27.5,1.15,2028,1913,70.8,53,2,8,30,10,24,83.27,2.75
10/23/2025,L039,Alpha Apparels Ltd,Alpha-B3,Buyer 1,19.3,20.68,2.3,2973,669,60.9,49,2,8,30,8.5,24,32.03,6.82
10/23/2025,L027,Gamma Textiles Ltd,Gamma-B3,Buyer 11,20.54,19.66,1.29,2063,2134,71.2,40,2,8,30,9.9,6,81.51,8.99
10/23/2025,L081,Alpha Apparels Ltd,Alpha-B1,Buyer 2,32.92,30.4,2.09,2484,1707,72.5,46,2,8,30,9.3,4,36.59,0
10/23/2025,L125,Alpha Apparels Ltd,Alpha-B2,Buyer 9,43.87,45.05,2.32,2653,2189,70.4,50,2,8,30,9.5,14,49.61,8.24
10/23/2025,L087,Gamma Textiles Ltd,Gamma-B2,Buyer 1,25.36,25.85,0.55,1058,1458,62.1,49,2,8,30,10.7,24,49.16,3.59
10/23/2025,L038,Gamma Textiles Ltd,Gamma-B1,Buyer 1,13.77,14.67,0.99,1765,2087,64.5,49,2,8,30,10.9,20,63.53,5.03
10/23/2025,L129,Alpha Apparels Ltd,Alpha-B2,Buyer 2,39.88,38.28,2.74,547,1524,58.4,54,2,8,30,10.5,12,41.83,116.8736328
10/23/2025,L029,Beta Garments Ltd,Beta-B2,Buyer 17,28.6,28.03,2.76,693,1396,53,47,2,8,30,8.5,11,66.47,9.44
10/23/2025,L037,Gamma Textiles Ltd,Gamma-B1,Buyer 1,44.62,40.73,2.2,1211,2091,63.5,39,2,8,30,9,15,75.43,12.67
10/23/2025,L082,Alpha Apparels Ltd,Alpha-B1,Buyer 1,37.55,35.96,1.58,2688,1951,63.7,41,2,8,30,10.5,7,108.54,13.96
10/23/2025,L126,Gamma Textiles Ltd,Gamma-B2,Buyer 2,16.35,16.54,0.58,2136,511,71,35,2,8,30,8.9,16,62.58,20.7
10/23/2025,L030,Beta Garments Ltd,Beta-B3,Buyer 1,8.32,7.58,2.39,2254,2002,67.2,54,2,8,30,9.9,5,25.61,4.1
10/23/2025,L128,Alpha Apparels Ltd,Alpha-B3,Buyer 7,39.71,41.34,1.14,2369,2136,55.2,40,2,8,30,8.7,13,68.13,10.71
10/23/2025,L085,Beta Garments Ltd,Beta-B1,Buyer 1,28.75,26.31,0.56,2999,994,54.7,48,2,8,30,9.9,5,49.27,12.75
10/23/2025,L108,Alpha Apparels Ltd,Alpha-B2,Buyer 13,33.41,30.78,1.15,1603,1355,51.3,52,2,8,30,10.1,19,54.32,3.89
10/23/2025,L031,Alpha Apparels Ltd,Alpha-B1,Buyer 1,11.33,11.6,1.67,1585,2124,79.3,35,2,8,30,8.3,2,88.18,6.61
10/23/2025,L083,Beta Garments Ltd,Beta-B3,Buyer 1,10.25,11.22,1.35,764,1209,70.9,47,2,8,30,10.3,14,54.16,5.15
10/23/2025,L032,Alpha Apparels Ltd,Alpha-B1,Buyer 1,18.31,19.55,2.58,730,1498,70,37,2,8,30,9.6,10,72.32,8.51
10/23/2025,L084,Alpha Apparels Ltd,Alpha-B3,Buyer 1,33.37,31.66,2.05,1883,2911,79.9,64,2,8,30,9.6,20,24.54,17.54
10/23/2025,L033,Beta Garments Ltd,Beta-B1,Buyer 1,41.65,44.19,1.5,2768,2831,70.9,45,2,8,30,9.3,5,86.92,0.43
10/23/2025,L024,Beta Garments Ltd,Beta-B2,Buyer 10,24.6,23.38,1.93,661,1335,68.1,38,2,8,30,8.1,12,29.21,9.57
10/23/2025,L054,Alpha Apparels Ltd,Alpha-B3,Buyer 1,20.94,22.22,2.01,1515,2897,51.5,44,2,8,30,10.6,19,36.19,5.56
